Category,Drift_Level,Prompt_ID,Base_Prompt_Num,Variant_Num,Prompt_CosSim,Mistral-7B-Instruct-v0.2_4bit_Resp_CosSim,Mistral-7B-Instruct-v0.2_8bit_Resp_CosSim,Mistral-7B-Instruct-v0.2_fp16_Resp_CosSim,Meta-Llama-3-8B-Instruct_4bit_Resp_CosSim,Meta-Llama-3-8B-Instruct_8bit_Resp_CosSim,Meta-Llama-3-8B-Instruct_fp16_Resp_CosSim,Phi-3-mini-4k-instruct_4bit_Resp_CosSim,Phi-3-mini-4k-instruct_8bit_Resp_CosSim,Phi-3-mini-4k-instruct_fp16_Resp_CosSim
qna,1,qna_L1_v1,1,1,99.29,96.54,96.59,98.12,93.98,95.86,96.31,86.11,80.37,90.87
qna,1,qna_L1_v2,1,2,95.9,94.56,94.83,98.56,94.34,92.81,94.44,84.02,68.19,86.29
qna,1,qna_L1_v3,1,3,99.15,93.77,93.93,95.24,95.46,97.12,96.77,88.06,71.95,84.64
qna,1,qna_L1_v1,2,1,100,97.98,97.55,97.44,93.7,95.27,100,86.81,87.48,100
qna,1,qna_L1_v2,2,2,100,95.94,97.37,96.86,93.4,94.5,100,86.63,88.46,100
qna,1,qna_L1_v3,2,3,100,97.15,97.36,96.84,96.31,94.57,100,84.5,86.63,100
qna,1,qna_L1_v1,3,1,91.18,93.09,90.46,96.06,95.85,92.59,97.06,83.58,89.62,92.31
qna,1,qna_L1_v2,3,2,98.33,93.06,93.15,93.62,94.09,94.61,99.73,83.22,89.81,89.93
qna,1,qna_L1_v3,3,3,96.77,95.59,94.63,94.22,96.61,92.51,99.73,87.04,94.02,91.76
qna,1,qna_L1_v1,4,1,98.97,95.74,94.72,96.13,95.74,96.32,98.37,85.22,86.93,91.23
qna,1,qna_L1_v2,4,2,100,95.33,96.28,96.19,96.34,89.77,100,88.25,85.85,100
qna,1,qna_L1_v3,4,3,100,94.57,95.77,96.08,95.81,93.07,100,87.64,86.87,100
qna,1,qna_L1_v1,5,1,98.55,96.71,92.13,94.3,97.99,95.7,99.85,93.45,87.35,80.58
qna,1,qna_L1_v2,5,2,99.17,97.51,97.01,93.99,95.72,95.73,99.28,89.39,93.06,85.26
qna,1,qna_L1_v3,5,3,91.03,95.28,91.71,92.93,97.68,97.32,99.04,87.68,88.85,87.11
qna,1,qna_L1_v1,6,1,91.86,83.49,92.95,89.36,88.5,84.6,96.18,77.75,77.11,83.75
qna,1,qna_L1_v2,6,2,100,95.9,90.4,95.47,94.79,96.19,100,87.29,91.33,100
qna,1,qna_L1_v3,6,3,90.46,91.34,91.01,95.4,92.21,94.79,93.9,83.66,82,87.05
qna,1,qna_L1_v1,7,1,100,91.38,93.28,94.89,91.89,89.43,100,91,88.43,100
qna,1,qna_L1_v2,7,2,95.74,92.45,90.76,93.36,95.19,92.39,95.94,78.24,87.91,78.3
qna,1,qna_L1_v3,7,3,96.29,82.6,80.12,91.15,94.3,89.6,99.26,87,89.74,78.2
qna,1,qna_L1_v1,8,1,100,96.66,94.27,96.8,95.03,87.63,100,76.57,91.64,100
qna,1,qna_L1_v2,8,2,92.11,89.43,89.42,91.31,93.55,93.32,89.84,76.93,81.87,67.13
qna,1,qna_L1_v3,8,3,87.29,89.09,84.46,89.68,91.97,86.09,85.65,72.34,81.27,72.16
qna,1,qna_L1_v1,9,1,99.48,93.39,98.44,98.11,96.51,97.52,97.21,83.82,84.56,82.34
qna,1,qna_L1_v2,9,2,95.26,95.46,95.26,94.32,95.02,96.42,96.66,88.34,82.94,84.61
qna,1,qna_L1_v3,9,3,100,95.45,93.6,96.56,96.1,96.87,100,88.14,85.06,100
qna,1,qna_L1_v1,10,1,89.76,92.79,93.84,89.11,91.77,89.29,91.33,85.43,83.68,91.9
qna,1,qna_L1_v2,10,2,97.6,89.8,96.64,87.81,87.1,91.16,94.78,81.73,83.97,80.83
qna,1,qna_L1_v3,10,3,83.8,94.15,84.23,91.23,89.1,90.39,91.05,71.89,79.14,77.53
qna,2,qna_L2_v1,1,1,95.48,94.52,98,96.23,91.65,91.6,94.46,85.58,73.66,91.75
