Category,Drift_Level,Prompt_ID,Base_Prompt_Num,Variant_Num,Prompt_CosSim,Prompt_Group_Mean,Prompt_Overall_Drift_Mean,Mistral-7B-Instruct-v0.2_4bit_Resp_CosSim,Mistral-7B-Instruct-v0.2_4bit_Resp_Group_Mean,Mistral-7B-Instruct-v0.2_4bit_Resp_Overall_Drift_Mean,Mistral-7B-Instruct-v0.2_8bit_Resp_CosSim,Mistral-7B-Instruct-v0.2_8bit_Resp_Group_Mean,Mistral-7B-Instruct-v0.2_8bit_Resp_Overall_Drift_Mean,Mistral-7B-Instruct-v0.2_fp16_Resp_CosSim,Mistral-7B-Instruct-v0.2_fp16_Resp_Group_Mean,Mistral-7B-Instruct-v0.2_fp16_Resp_Overall_Drift_Mean,Meta-Llama-3-8B-Instruct_4bit_Resp_CosSim,Meta-Llama-3-8B-Instruct_4bit_Resp_Group_Mean,Meta-Llama-3-8B-Instruct_4bit_Resp_Overall_Drift_Mean,Meta-Llama-3-8B-Instruct_8bit_Resp_CosSim,Meta-Llama-3-8B-Instruct_8bit_Resp_Group_Mean,Meta-Llama-3-8B-Instruct_8bit_Resp_Overall_Drift_Mean,Meta-Llama-3-8B-Instruct_fp16_Resp_CosSim,Meta-Llama-3-8B-Instruct_fp16_Resp_Group_Mean,Meta-Llama-3-8B-Instruct_fp16_Resp_Overall_Drift_Mean,Phi-3-mini-4k-instruct_4bit_Resp_CosSim,Phi-3-mini-4k-instruct_4bit_Resp_Group_Mean,Phi-3-mini-4k-instruct_4bit_Resp_Overall_Drift_Mean,Phi-3-mini-4k-instruct_8bit_Resp_CosSim,Phi-3-mini-4k-instruct_8bit_Resp_Group_Mean,Phi-3-mini-4k-instruct_8bit_Resp_Overall_Drift_Mean,Phi-3-mini-4k-instruct_fp16_Resp_CosSim,Phi-3-mini-4k-instruct_fp16_Resp_Group_Mean,Phi-3-mini-4k-instruct_fp16_Resp_Overall_Drift_Mean,
qna,1,qna_L1_v1,1,1,99.29,98.11,96.27,96.54,94.96,93.54,96.59,95.12,93.07,98.12,97.31,94.37,93.98,94.59,94.2,95.86,95.26,93.12,96.31,95.84,97.08,86.11,86.06,84.39,80.37,73.5,85.2,90.87,87.27,88.79,
qna,1,qna_L1_v2,1,2,95.9,98.11,96.27,94.56,94.96,93.54,94.83,95.12,93.07,98.56,97.31,94.37,94.34,94.59,94.2,92.81,95.26,93.12,94.44,95.84,97.08,84.02,86.06,84.39,68.19,73.5,85.2,86.29,87.27,88.79,
qna,1,qna_L1_v3,1,3,99.15,98.11,96.27,93.77,94.96,93.54,93.93,95.12,93.07,95.24,97.31,94.37,95.46,94.59,94.2,97.12,95.26,93.12,96.77,95.84,97.08,88.06,86.06,84.39,71.95,73.5,85.2,84.64,87.27,88.79,
qna,1,qna_L1_v1,2,1,100,100,96.27,97.98,97.02,93.54,97.55,97.43,93.07,97.44,97.05,94.37,93.7,94.47,94.2,95.27,94.78,93.12,100,100,97.08,86.81,85.98,84.39,87.48,87.52,85.2,100,100,88.79,
qna,1,qna_L1_v2,2,2,100,100,96.27,95.94,97.02,93.54,97.37,97.43,93.07,96.86,97.05,94.37,93.4,94.47,94.2,94.5,94.78,93.12,100,100,97.08,86.63,85.98,84.39,88.46,87.52,85.2,100,100,88.79,
qna,1,qna_L1_v3,2,3,100,100,96.27,97.15,97.02,93.54,97.36,97.43,93.07,96.84,97.05,94.37,96.31,94.47,94.2,94.57,94.78,93.12,100,100,97.08,84.5,85.98,84.39,86.63,87.52,85.2,100,100,88.79,
qna,1,qna_L1_v1,3,1,91.18,95.43,96.27,93.09,93.91,93.54,90.46,92.75,93.07,96.06,94.63,94.37,95.85,95.52,94.2,92.59,93.24,93.12,97.06,98.84,97.08,83.58,84.61,84.39,89.62,91.15,85.2,92.31,91.33,88.79,
qna,1,qna_L1_v2,3,2,98.33,95.43,96.27,93.06,93.91,93.54,93.15,92.75,93.07,93.62,94.63,94.37,94.09,95.52,94.2,94.61,93.24,93.12,99.73,98.84,97.08,83.22,84.61,84.39,89.81,91.15,85.2,89.93,91.33,88.79,
qna,1,qna_L1_v3,3,3,96.77,95.43,96.27,95.59,93.91,93.54,94.63,92.75,93.07,94.22,94.63,94.37,96.61,95.52,94.2,92.51,93.24,93.12,99.73,98.84,97.08,87.04,84.61,84.39,94.02,91.15,85.2,91.76,91.33,88.79,
qna,1,qna_L1_v1,4,1,98.97,99.66,96.27,95.74,95.21,93.54,94.72,95.59,93.07,96.13,96.13,94.37,95.74,95.96,94.2,96.32,93.05,93.12,98.37,99.46,97.08,85.22,87.04,84.39,86.93,86.55,85.2,91.23,97.08,88.79,
qna,1,qna_L1_v2,4,2,100,99.66,96.27,95.33,95.21,93.54,96.28,95.59,93.07,96.19,96.13,94.37,96.34,95.96,94.2,89.77,93.05,93.12,100,99.46,97.08,88.25,87.04,84.39,85.85,86.55,85.2,100,97.08,88.79,
qna,1,qna_L1_v3,4,3,100,99.66,96.27,94.57,95.21,93.54,95.77,95.59,93.07,96.08,96.13,94.37,95.81,95.96,94.2,93.07,93.05,93.12,100,99.46,97.08,87.64,87.04,84.39,86.87,86.55,85.2,100,97.08,88.79,
qna,1,qna_L1_v1,5,1,98.55,96.25,96.27,96.71,96.5,93.54,92.13,93.62,93.07,94.3,93.74,94.37,97.99,97.13,94.2,95.7,96.25,93.12,99.85,99.39,97.08,93.45,90.17,84.39,87.35,89.75,85.2,80.58,84.32,88.79,
qna,1,qna_L1_v2,5,2,99.17,96.25,96.27,97.51,96.5,93.54,97.01,93.62,93.07,93.99,93.74,94.37,95.72,97.13,94.2,95.73,96.25,93.12,99.28,99.39,97.08,89.39,90.17,84.39,93.06,89.75,85.2,85.26,84.32,88.79,
qna,1,qna_L1_v3,5,3,91.03,96.25,96.27,95.28,96.5,93.54,91.71,93.62,93.07,92.93,93.74,94.37,97.68,97.13,94.2,97.32,96.25,93.12,99.04,99.39,97.08,87.68,90.17,84.39,88.85,89.75,85.2,87.11,84.32,88.79,
qna,1,qna_L1_v1,6,1,91.86,94.11,96.27,83.49,90.24,93.54,92.95,91.45,93.07,89.36,93.41,94.37,88.5,91.83,94.2,84.6,91.86,93.12,96.18,96.69,97.08,77.75,82.9,84.39,77.11,83.48,85.2,83.75,90.27,88.79,
qna,1,qna_L1_v2,6,2,100,94.11,96.27,95.9,90.24,93.54,90.4,91.45,93.07,95.47,93.41,94.37,94.79,91.83,94.2,96.19,91.86,93.12,100,96.69,97.08,87.29,82.9,84.39,91.33,83.48,85.2,100,90.27,88.79,
qna,1,qna_L1_v3,6,3,90.46,94.11,96.27,91.34,90.24,93.54,91.01,91.45,93.07,95.4,93.41,94.37,92.21,91.83,94.2,94.79,91.86,93.12,93.9,96.69,97.08,83.66,82.9,84.39,82,83.48,85.2,87.05,90.27,88.79,
qna,1,qna_L1_v1,7,1,100,97.34,96.27,91.38,88.81,93.54,93.28,88.05,93.07,94.89,93.13,94.37,91.89,93.79,94.2,89.43,90.47,93.12,100,98.4,97.08,91,85.41,84.39,88.43,88.69,85.2,100,85.5,88.79,
qna,1,qna_L1_v2,7,2,95.74,97.34,96.27,92.45,88.81,93.54,90.76,88.05,93.07,93.36,93.13,94.37,95.19,93.79,94.2,92.39,90.47,93.12,95.94,98.4,97.08,78.24,85.41,84.39,87.91,88.69,85.2,78.3,85.5,88.79,
qna,1,qna_L1_v3,7,3,96.29,97.34,96.27,82.6,88.81,93.54,80.12,88.05,93.07,91.15,93.13,94.37,94.3,93.79,94.2,89.6,90.47,93.12,99.26,98.4,97.08,87,85.41,84.39,89.74,88.69,85.2,78.2,85.5,88.79,
qna,1,qna_L1_v1,8,1,100,93.13,96.27,96.66,91.73,93.54,94.27,89.38,93.07,96.8,92.6,94.37,95.03,93.52,94.2,87.63,89.01,93.12,100,91.83,97.08,76.57,75.28,84.39,91.64,84.93,85.2,100,79.76,88.79,
qna,1,qna_L1_v2,8,2,92.11,93.13,96.27,89.43,91.73,93.54,89.42,89.38,93.07,91.31,92.6,94.37,93.55,93.52,94.2,93.32,89.01,93.12,89.84,91.83,97.08,76.93,75.28,84.39,81.87,84.93,85.2,67.13,79.76,88.79,
qna,1,qna_L1_v3,8,3,87.29,93.13,96.27,89.09,91.73,93.54,84.46,89.38,93.07,89.68,92.6,94.37,91.97,93.52,94.2,86.09,89.01,93.12,85.65,91.83,97.08,72.34,75.28,84.39,81.27,84.93,85.2,72.16,79.76,88.79,
qna,1,qna_L1_v1,9,1,99.48,98.25,96.27,93.39,94.77,93.54,98.44,95.77,93.07,98.11,96.33,94.37,96.51,95.88,94.2,97.52,96.94,93.12,97.21,97.96,97.08,83.82,86.77,84.39,84.56,84.19,85.2,82.34,88.98,88.79,
qna,1,qna_L1_v2,9,2,95.26,98.25,96.27,95.46,94.77,93.54,95.26,95.77,93.07,94.32,96.33,94.37,95.02,95.88,94.2,96.42,96.94,93.12,96.66,97.96,97.08,88.34,86.77,84.39,82.94,84.19,85.2,84.61,88.98,88.79,
qna,1,qna_L1_v3,9,3,100,98.25,96.27,95.45,94.77,93.54,93.6,95.77,93.07,96.56,96.33,94.37,96.1,95.88,94.2,96.87,96.94,93.12,100,97.96,97.08,88.14,86.77,84.39,85.06,84.19,85.2,100,88.98,88.79,
qna,1,qna_L1_v1,10,1,89.76,90.39,96.27,92.79,92.25,93.54,93.84,91.57,93.07,89.11,89.38,94.37,91.77,89.32,94.2,89.29,90.28,93.12,91.33,92.39,97.08,85.43,79.68,84.39,83.68,82.26,85.2,91.9,83.42,88.79,
qna,1,qna_L1_v2,10,2,97.6,90.39,96.27,89.8,92.25,93.54,96.64,91.57,93.07,87.81,89.38,94.37,87.1,89.32,94.2,91.16,90.28,93.12,94.78,92.39,97.08,81.73,79.68,84.39,83.97,82.26,85.2,80.83,83.42,88.79,
qna,1,qna_L1_v3,10,3,83.8,90.39,96.27,94.15,92.25,93.54,84.23,91.57,93.07,91.23,89.38,94.37,89.1,89.32,94.2,90.39,90.28,93.12,91.05,92.39,97.08,71.89,79.68,84.39,79.14,82.26,85.2,77.53,83.42,88.79,
qna,2,qna_L2_v1,1,1,95.48,97.42,95.14,94.52,94.93,91.88,98,95,90.2,96.23,96.13,91.47,91.65,93.38,94.22,91.6,93.37,93.36,94.46,95.31,94.83,85.58,86.37,84.47,73.66,73.59,83.96,91.75,89.99,84.97,
qna,2,qna_L2_v2,1,2,98.17,97.42,95.14,94.91,94.93,91.88,93.42,95,90.2,95.29,96.13,91.47,92.78,93.38,94.22,95,93.37,93.36,95.29,95.31,94.83,90.71,86.37,84.47,73.9,73.59,83.96,88.02,89.99,84.97,
qna,2,qna_L2_v3,1,3,98.62,97.42,95.14,95.36,94.93,91.88,93.58,95,90.2,96.87,96.13,91.47,95.7,93.38,94.22,93.5,93.37,93.36,96.18,95.31,94.83,82.83,86.37,84.47,73.21,73.59,83.96,90.21,89.99,84.97,
qna,2,qna_L2_v1,2,1,94.61,92.72,95.14,96.87,92.96,91.88,95.32,89.8,90.2,95.46,87.82,91.47,92.62,94.59,94.22,93.6,90.97,93.36,92.05,90.8,94.83,79.12,81.52,84.47,82.93,78.02,83.96,82.87,83.32,84.97,
qna,2,qna_L2_v2,2,2,83.83,92.72,95.14,84.06,92.96,91.88,77.56,89.8,90.2,70.67,87.82,91.47,94.12,94.59,94.22,86.38,90.97,93.36,87.71,90.8,94.83,79.23,81.52,84.47,67.68,78.02,83.96,74.99,83.32,84.97,
qna,2,qna_L2_v3,2,3,99.73,92.72,95.14,97.96,92.96,91.88,96.52,89.8,90.2,97.34,87.82,91.47,97.02,94.59,94.22,92.92,90.97,93.36,92.65,90.8,94.83,86.22,81.52,84.47,83.46,78.02,83.96,92.09,83.32,84.97,
qna,2,qna_L2_v1,3,1,99.74,95.82,95.14,93.31,91.81,91.88,95.27,91.27,90.2,95.43,90.6,91.47,96.98,95.93,94.22,93.65,93.91,93.36,95.8,96.92,94.83,91.14,86.19,84.47,94.78,90.59,83.96,89.82,87.3,84.97,
qna,2,qna_L2_v2,3,2,99.74,95.82,95.14,92.78,91.81,91.88,92.85,91.27,90.2,92.99,90.6,91.47,95.06,95.93,94.22,94.35,93.91,93.36,95.8,96.92,94.83,84.79,86.19,84.47,92.23,90.59,83.96,89.82,87.3,84.97,
qna,2,qna_L2_v3,3,3,87.97,95.82,95.14,89.35,91.81,91.88,85.68,91.27,90.2,83.38,90.6,91.47,95.76,95.93,94.22,93.73,93.91,93.36,99.15,96.92,94.83,82.64,86.19,84.47,84.76,90.59,83.96,82.27,87.3,84.97,
qna,2,qna_L2_v1,4,1,96.9,97.22,95.14,95.31,94.66,91.88,96.17,95.73,90.2,95.44,95.36,91.47,94.9,92.88,94.22,94.75,95.45,93.36,97.91,94.76,94.83,78.63,83.76,84.47,84.83,83.99,83.96,89.25,89.19,84.97,
qna,2,qna_L2_v2,4,2,98.49,97.22,95.14,93.93,94.66,91.88,95.49,95.73,90.2,94.69,95.36,91.47,87.94,92.88,94.22,96.56,95.45,93.36,95.24,94.76,94.83,87.58,83.76,84.47,87.46,83.99,83.96,84.62,89.19,84.97,
